x,y,r (pixel),is_circle,r (um),group
388,494,35,unmarked,103.25,409
634,610,31,unmarked,91.45,410
820,562,31,unmarked,91.45,411
320,368,56,unmarked,165.20000000000002,412
34,502,53,unmarked,156.35000000000002,413
76,202,53,unmarked,156.35000000000002,414
214,86,51,unmarked,150.45000000000002,415
60,186,49,unmarked,144.55,416
72,402,44,unmarked,129.8,417
800,214,39,unmarked,115.05000000000001,418
248,644,39,unmarked,115.05000000000001,419
446,38,36,unmarked,106.2,420
332,586,56,unmarked,165.20000000000002,421
46,360,32,unmarked,94.4,422
130,414,20,unmarked,59.0,423
730,180,17,unmarked,50.150000000000006,424
342,492,32,unmarked,94.4,425
646,502,25,unmarked,73.75,426
578,368,19,unmarked,56.050000000000004,427
392,430,44,unmarked,129.8,428
402,76,40,unmarked,118.0,429
618,632,23,unmarked,67.85000000000001,430
510,278,22,unmarked,64.9,431
564,480,44,unmarked,129.8,432
366,340,38,unmarked,112.10000000000001,433
852,106,37,unmarked,109.15,434
104,628,32,unmarked,94.4,435
816,500,27,unmarked,79.65,436
204,420,49,unmarked,144.55,437
190,452,47,unmarked,138.65,438
796,320,32,unmarked,94.4,439
42,316,32,unmarked,94.4,440
494,654,32,unmarked,94.4,441
800,298,27,unmarked,79.65,442
334,648,42,unmarked,123.9,443
420,606,34,unmarked,100.30000000000001,444
92,552,32,unmarked,94.4,445
474,654,30,unmarked,88.5,446
766,552,24,unmarked,70.80000000000001,447
474,336,32,unmarked,94.4,448
788,124,30,unmarked,88.5,449
188,194,29,unmarked,85.55000000000001,450
834,388,21,unmarked,61.95,451
698,128,36,unmarked,106.2,452
270,628,19,unmarked,56.050000000000004,453
6,410,56,unmarked,165.20000000000002,454
576,344,32,unmarked,94.4,455
650,252,25,unmarked,73.75,456
286,658,25,unmarked,73.75,457
38,292,44,unmarked,129.8,458
38,340,37,unmarked,109.15,459
132,20,51,unmarked,150.45000000000002,460
790,60,35,unmarked,103.25,461
284,220,33,unmarked,97.35000000000001,462
686,600,22,unmarked,64.9,463
522,640,21,unmarked,61.95,464
776,660,19,unmarked,56.050000000000004,465
600,660,39,unmarked,115.05000000000001,466
812,232,38,unmarked,112.10000000000001,467
832,292,37,unmarked,109.15,468
356,456,34,unmarked,100.30000000000001,469
698,640,21,unmarked,61.95,470
